"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.069175167E0,1.009172916E1,1.945963025E0,-1.548754454E0
6.088638917E0,1.046022415E1,1.954337835E0,-1.307677627E0
6.108102772E0,1.061695385E1,1.790429592E0,-1.065404296E0
6.127566522E0,1.052662468E1,1.439282775E0,-9.900303483E-1
6.147030376E0,1.013659477E1,1.014556766E0,-1.080359459E0
6.166494126E0,9.458827972E0,6.508477330E-1,-1.235892892E0
6.185957876E0,8.767900467E0,6.430711150E-1,-1.322632670E0
6.205421730E0,8.316853523E0,9.158528447E-1,-1.292722464E0
6.224885480E0,8.314460754E0,1.313061476E0,-1.080957651E0
6.244349334E0,8.675178528E0,1.621735573E0,-8.853443861E-1
6.263813084E0,9.404989243E0,1.705484390E0,-1.036690354E0
6.283276938E0,1.038006496E1,1.780858278E0,-1.447059512E0
6.302740688E0,1.114935684E1,1.731805444E0,-1.631905079E0
6.322204542E0,1.142812061E1,1.752742529E0,-1.767697692E0
6.341668292E0,1.092383385E1,1.730010748E0,-1.388435364E0
6.361132042E0,1.012463093E1,1.442872047E0,-9.924231768E-1
6.380595897E0,9.399007797E0,1.132403374E0,-6.723831892E-1
6.400059647E0,8.947361946E0,9.056833982E-1,-4.648058116E-1
6.419523501E0,8.879764557E0,8.757730722E-1,-4.510470629E-1
6.438987251E0,8.994620323E0,8.907282352E-1,-4.630111754E-1
6.458451105E0,9.328418732E0,9.355936646E-1,-6.023930907E-1
6.477914855E0,9.729815483E0,9.637092948E-1,-7.830511928E-1
6.497378709E0,1.000498962E1,1.085145116E0,-9.080761671E-1
6.516842459E0,1.009830952E1,1.308275819E0,-9.038887620E-1
6.536306209E0,9.820742607E0,1.374676585E0,-6.999006271E-1
6.555770063E0,9.373882294E0,1.188634634E0,-4.402793646E-1
6.575233813E0,9.189635277E0,8.745766878E-1,-2.554338276E-1
6.594697667E0,9.382257462E0,4.516452849E-1,-2.853440940E-1
6.614161417E0,9.806983948E0,2.955136001E-1,-3.678964674E-1
6.633625272E0,1.010788059E1,5.401797295E-1,-4.157529473E-1
6.653089022E0,9.847063065E0,7.238288522E-1,-5.682953596E-1
6.672552876E0,9.464211464E0,7.381857634E-1,-7.357929349E-1
6.692016626E0,9.267401695E0,7.489534616E-1,-7.633104324E-1
6.711480480E0,9.248857498E0,7.836494446E-1,-7.214360237E-1
6.730944230E0,9.466006279E0,8.027920127E-1,-7.328019142E-1
6.750407980E0,9.859027863E0,7.543373108E-1,-8.051848412E-1
6.769871834E0,1.015633583E1,7.507480979E-1,-8.428717852E-1
6.789335584E0,1.023111153E1,7.633104324E-1,-8.153542876E-1
6.808799438E0,9.963713646E0,7.728816867E-1,-8.799605370E-1
6.828263188E0,9.899705887E0,7.531409264E-1,-7.363911867E-1
6.847727042E0,9.763913155E0,8.338986635E-1,-6.430711150E-1
6.867190792E0,9.659226418E0,9.625129104E-1,-6.801598072E-1
6.886654647E0,9.609575272E0,9.278169870E-1,-5.371887088E-1
6.906118397E0,9.661619186E0,7.531409264E-1,-6.538388133E-1
6.925582251E0,9.783055305E0,6.005984545E-1,-8.608179688E-1
6.945046001E0,9.955338478E0,4.977070987E-1,-1.024726272E0
6.964509855E0,1.006122112E1,4.923232496E-1,-1.178465128E0
6.983973605E0,1.003131104E1,6.388836503E-1,-1.303490162E0
7.003437459E0,9.796216011E0,8.656035662E-1,-1.291526079E0
7.022901209E0,9.687342644E0,9.427721500E-1,-1.326820135E0
7.042364959E0,9.720842361E0,7.926225066E-1,-1.408176184E0
7.061828813E0,9.821938515E0,5.730810165E-1,-1.486541033E0
7.081292563E0,9.870393753E0,4.899304509E-1,-1.590628862E0
7.100756417E0,9.896714211E0,4.037888348E-1,-1.781456470E0
7.120220167E0,9.895518303E0,4.360919297E-1,-1.958525300E0
7.139684022E0,9.744172096E0,5.976074338E-1,-2.068595171E0
7.159147772E0,9.484550476E0,7.010970116E-1,-2.081157446E0
7.178611626E0,9.387042999E0,6.831508875E-1,-2.006979942E0
7.198075376E0,9.378668785E0,7.250252366E-1,-1.837687731E0
7.217539230E0,9.468399048E0,8.554341197E-1,-1.723430514E0
7.237002980E0,9.597013474E0,8.428717852E-1,-1.829911113E0
7.256466834E0,9.760323524E0,7.657032609E-1,-1.974676847E0
7.275930584E0,9.899106979E0,6.693921089E-1,-2.026720762E0
7.295394334E0,9.974481583E0,6.179464459E-1,-1.923829436E0
7.314858188E0,9.881759644E0,6.334998012E-1,-1.805982947E0
