"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.107759492E0,3.008509055E-2,-2.061668551E-3,-1.145371469E-3
4.127220117E0,3.451386094E-2,-1.718057133E-2,-2.825249685E-3
4.146680742E0,4.138609022E-2,-1.687514037E-2,-2.519817324E-3
4.166141367E0,4.550942779E-2,5.345066893E-4,-2.290742996E-4
4.185602096E0,4.673115537E-2,1.565340906E-2,4.810560029E-3
4.205062721E0,4.062250629E-2,2.008217946E-2,1.298087649E-3
4.224523346E0,3.039052337E-2,8.323032409E-3,-4.657844082E-3
4.243983971E0,2.336557768E-2,-5.574141163E-3,-7.101302966E-3
4.263444596E0,2.306014486E-2,-2.283107117E-2,-2.672533505E-3
4.282905221E0,3.115410358E-2,-3.535379842E-2,2.672533505E-3
4.302365950E0,3.848448023E-2,-3.535379842E-2,7.406735327E-3
4.321826575E0,3.726275265E-2,-3.016144782E-2,5.879573524E-3
4.341287200E0,2.657261863E-2,-2.710712515E-2,2.519817324E-3
4.360747825E0,9.315688163E-3,-2.710712515E-2,-1.145371469E-3
4.380208450E0,6.108647794E-4,-2.313650399E-2,-1.908952487E-3
4.399669075E0,5.345067009E-3,-2.405280061E-2,-2.367100911E-3
4.419129700E0,1.404988952E-2,-3.168861195E-2,-7.635809743E-5
4.438590325E0,2.229656465E-2,-4.130972922E-2,1.603520010E-3
4.458051054E0,2.748891525E-2,-5.199986324E-2,3.894262947E-3
4.477511679E0,2.733619884E-2,-6.971494108E-2,3.894262947E-3
4.496972304E0,1.939495653E-2,-8.177952468E-2,1.603520010E-3
4.516432929E0,7.635809947E-3,-8.559742570E-2,2.367100911E-3
4.535893554E0,-2.138026757E-3,-8.025235683E-2,4.199695308E-3
4.555354179E0,-3.359756200E-3,-7.276926935E-2,4.505127668E-3
4.574814804E0,3.359756200E-3,-6.986765563E-2,4.352411721E-3
4.594275533E0,6.719512399E-3,-6.345357746E-2,7.101302966E-3
4.613736158E0,4.734201822E-3,-5.871937796E-2,7.406735327E-3
4.633196783E0,1.374445739E-3,-5.383246019E-2,4.505127668E-3
4.652657408E0,4.581485991E-4,-6.055197120E-2,5.115992390E-3
4.672118033E0,-6.108647794E-4,-7.414371520E-2,4.199695308E-3
4.691578658E0,-1.374445739E-3,-8.284853399E-2,1.603520010E-3
4.711039283E0,-1.374445739E-3,-6.971494108E-2,-3.817904799E-4
4.730499908E0,4.581485991E-4,-5.444332212E-2,-1.603520010E-3
4.749960637E0,2.290742937E-3,-4.085158184E-2,-3.817904799E-4
4.769421262E0,2.748891478E-3,-2.695440874E-2,-7.635809743E-5
4.788881887E0,4.276053514E-3,-2.054032870E-2,-1.450803829E-3
4.808342512E0,1.527161949E-4,-2.054032870E-2,-3.283398226E-3
4.827803137E0,-7.941242307E-3,-2.313650399E-2,-3.436114406E-3
4.847263762E0,-1.282816008E-2,-2.084576152E-2,-1.145371469E-3
4.866724387E0,-9.468403645E-3,-1.733328775E-2,-3.283398226E-3
4.886185012E0,-1.374445739E-3,-1.320995111E-2,-4.963276442E-3
4.905645742E0,6.414080039E-3,-9.850194678E-3,-3.436114406E-3
4.925106367E0,8.857538924E-3,-1.305723470E-2,-1.450803829E-3
4.944566992E0,1.053741761E-2,-2.145662531E-2,-2.061668551E-3
4.964027617E0,1.282816008E-2,-2.328922041E-2,-4.657844082E-3
4.983488242E0,1.649334840E-2,-1.183550525E-2,-6.032289471E-3
5.002948867E0,2.092211880E-2,7.559451740E-3,-2.214384731E-3
5.022409492E0,2.718348242E-2,2.725984156E-2,2.290742996E-4
5.041870117E0,3.130681813E-2,3.214675933E-2,-5.115992390E-3
5.061330846E0,2.947422490E-2,3.550651670E-2,-1.397353224E-2
5.080791471E0,1.832594350E-2,4.375318810E-2,-2.222020552E-2
5.100252096E0,1.679878100E-3,5.535962060E-2,-2.680169232E-2
5.119712721E0,1.084284950E-2,3.306305781E-2,-2.848157100E-2
5.139173346E0,3.466657549E-2,-1.962403022E-2,-2.787070535E-2
5.158633971E0,3.451386094E-2,-6.589704007E-2,-2.756527252E-2
5.178094596E0,3.054323839E-3,-9.017891437E-2,-2.344193682E-2
5.197555221E0,-3.466657549E-2,-8.330668509E-2,-1.702785492E-2
5.217015846E0,-4.062250629E-2,-5.795579776E-2,-4.657844082E-3
5.236476575E0,-1.954767294E-2,-3.413207084E-2,8.781181648E-3
5.255937200E0,4.123337101E-3,-1.244636998E-2,2.054032870E-2
5.275397825E0,1.634063199E-2,1.336266659E-2,2.680169232E-2
5.294858450E0,1.939495653E-2,3.749182448E-2,2.695440874E-2
5.314319075E0,2.046396956E-2,5.138900131E-2,2.802342176E-2
5.333779700E0,2.138026804E-2,5.673406646E-2,3.275762498E-2
5.353240325E0,1.771507785E-2,6.177370250E-2,3.779725730E-2
5.372700950E0,1.786779426E-2,6.879864633E-2,3.993528336E-2
5.392161575E0,2.977965772E-2,6.345357746E-2,4.222602770E-2
5.411622304E0,4.886918142E-2,4.344775900E-2,4.314232618E-2
5.431082929E0,5.925388262E-2,2.680169232E-2,4.176788032E-2
5.450543554E0,6.246092543E-2,3.489565104E-2,4.024071619E-2
5.470004179E0,6.337722391E-2,5.077813566E-2,4.024071619E-2
5.489464804E0,6.673697382E-2,5.016727000E-2,3.703367710E-2
5.508925429E0,6.795870513E-2,5.245801434E-2,3.535379842E-2
5.528386054E0,6.719512492E-2,6.528617442E-2,3.657552972E-2
5.547846679E0,6.979130208E-2,7.017309219E-2,3.275762498E-2
5.567307304E0,7.101303339E-2,5.612320080E-2,2.863428742E-2
5.586767929E0,7.086031139E-2,3.535379842E-2,1.748600416E-2
5.606228658E0,6.139190868E-2,3.428478539E-2,3.588830587E-3
5.625689283E0,4.825831577E-2,5.184714869E-2,2.214384731E-3
5.645149908E0,4.535670951E-2,5.902481079E-2,5.879573524E-3
5.664610533E0,5.803215504E-2,4.726566374E-2,5.726857111E-3
5.684071158E0,8.048143238E-2,2.878700197E-2,2.367100911E-3
5.703531783E0,9.514218569E-2,2.054032870E-2,-1.756236190E-3
5.722992408E0,9.819651395E-2,2.557996288E-2,-8.399390499E-4
5.742453033E0,8.521563560E-2,2.848157100E-2,-2.977965865E-3
5.761913658E0,6.185005978E-2,1.779143699E-2,-6.795870606E-3
5.781374387E0,5.589412898E-2,1.580612548E-2,-7.101302966E-3
5.800835012E0,7.788526267E-2,2.214384731E-3,-2.061668551E-3
5.820295637E0,1.000291109E-1,-1.488982886E-2,4.199695308E-3
5.839756262E0,1.059850380E-1,-2.664897591E-2,6.948587019E-3
5.859216887E0,9.147699922E-2,-1.305723470E-2,-7.635809743E-5
5.878677512E0,7.819069177E-2,1.214093715E-2,-2.367100911E-3
5.898138137E0,7.162389904E-2,8.170315996E-3,7.635809743E-5
5.917598762E0,6.307178736E-2,-9.239329956E-3,-9.926552884E-4
5.937059387E0,6.032289565E-2,-3.061959706E-2,-1.000291109E-2
5.956520012E0,6.948586553E-2,-5.230529606E-2,-2.466366626E-2
5.975980742E0,6.108647957E-2,-7.108938694E-2,-3.061959706E-2
5.995441367E0,3.985892609E-2,-8.529199660E-2,-2.298378758E-2
6.014901992E0,2.076940238E-2,-6.589704007E-2,-1.595884189E-2
6.034362617E0,-1.069013379E-3,-3.917170316E-2,-7.559451740E-3
6.053823242E0,-2.306014486E-2,-5.444332212E-2,-9.239329956E-3
6.073283867E0,-5.742128938E-2,-6.360629201E-2,-1.977674663E-2
6.092744492E0,-1.003345400E-1,-5.856665969E-2,-3.092502989E-2
6.112205117E0,-1.330158114E-1,-7.063124329E-2,-3.825540841E-2
6.131665742E0,-1.362228394E-1,-8.407026529E-2,-4.390590638E-2
6.151126367E0,-1.253799945E-1,-6.757691503E-2,-4.787652567E-2
6.170586992E0,-1.276707351E-1,-5.047270283E-2,-4.619665071E-2
6.190047721E0,-1.531743407E-1,-1.061377581E-2,-4.375318810E-2
6.209508346E0,-1.982256174E-1,3.229947388E-2,-3.596466407E-2
6.228968971E0,-2.406807244E-1,7.093667239E-2,-3.321577236E-2
6.248429596E0,-2.649625838E-1,9.201150388E-2,-3.627009690E-2
6.267890221E0,-2.774853408E-1,7.429642975E-2,-4.619665071E-2
6.287350846E0,-3.011563420E-1,5.734493211E-2,-5.765036494E-2
6.306811471E0,-3.274235129E-1,2.649625950E-2,-5.887209252E-2
6.326272096E0,-3.387245238E-1,6.795870606E-3,-5.245801434E-2
6.345732721E0,-3.324631453E-1,3.168861195E-2,-3.657552972E-2
6.365193346E0,-3.281871080E-1,5.856665969E-2,-2.054032870E-2
6.384653971E0,-3.355174661E-1,7.612902671E-2,-7.101302966E-3
6.404114700E0,-3.349066079E-1,5.917752534E-2,2.519817324E-3
6.423575325E0,-3.035998046E-1,2.328922041E-2,6.032289471E-3
6.443035950E0,-2.703076601E-1,-3.741546767E-3,1.351538301E-2
6.462496575E0,-2.328922004E-1,-1.015562657E-2,2.054032870E-2
6.481957200E0,-1.907425225E-1,-3.741546767E-3,2.542724647E-2
6.501417825E0,-1.547015011E-1,1.450803829E-3,3.321577236E-2
6.520878450E0,-1.127045527E-1,-2.061668551E-3,3.397935256E-2
6.540339075E0,-5.467239767E-2,-1.244636998E-2,3.260490671E-2
6.559799700E0,-3.970621154E-3,-6.795870606E-3,3.459021822E-2
6.579260325E0,2.733619884E-2,8.323032409E-3,3.901898861E-2
6.598720950E0,4.230238497E-2,3.397935256E-2,4.253146052E-2
6.618181679E0,4.016435891E-2,5.505418777E-2,3.932442144E-2
6.637642304E0,3.894263133E-2,4.650207981E-2,2.741255611E-2
6.657102929E0,5.360338464E-2,1.351538301E-2,1.153007243E-2
6.676563554E0,6.017018110E-2,-2.008217946E-2,-4.199695308E-3
6.696024179E0,4.230238497E-2,-3.443750367E-2,-2.985601686E-2
6.715484804E0,9.468403645E-3,-3.016144782E-2,-6.116283685E-2
6.734945429E0,-1.313359290E-2,-8.017600514E-3,-8.743002266E-2
6.754406054E0,-1.740964688E-2,2.519817324E-3,-1.014799103E-1
6.773866679E0,-1.710421406E-2,-1.397353224E-2,-1.106428802E-1
6.793327304E0,-9.468403645E-3,-4.146244749E-2,-1.213330179E-1
6.812788033E0,1.282816008E-2,-8.055779338E-2,-1.243873388E-1
6.832248658E0,2.687804960E-2,-1.175151095E-1,-1.211803034E-1
6.851709283E0,1.557705179E-2,-1.222493127E-1,-1.149189398E-1
6.871169908E0,-9.162971750E-3,-1.025489271E-1,-1.085048541E-1
6.890630533E0,-3.375028074E-2,-1.056032479E-1,-9.995274991E-2
6.910091158E0,-6.383536756E-2,-1.640935540E-1,-9.033162892E-2
6.929551783E0,-7.941242307E-2,-2.163224965E-1,-7.948877662E-2
6.949012408E0,-6.643154472E-2,-2.091448307E-1,-6.070468575E-2
6.968473033E0,-6.078104675E-2,-1.532506943E-1,-3.657552972E-2
6.987933658E0,-6.062832847E-2,-8.636100590E-2,-2.176205814E-2
7.007394283E0,-4.459312931E-2,-5.123628303E-2,-1.214093715E-2
7.026855012E0,-4.276053514E-3,-5.276344717E-2,3.817904799E-4
7.046315637E0,3.695731983E-2,-6.803506613E-2,1.198822167E-2
7.065776262E0,5.772672221E-2,-9.094249457E-2,1.351538301E-2
7.085236887E0,4.474584386E-2,-1.146135032E-1,4.810560029E-3
7.104697512E0,5.345067009E-3,-1.123227626E-1,-8.628465235E-3
7.124158137E0,-3.512472659E-2,-7.108938694E-2,-2.390008420E-2
7.143618762E0,-6.246092543E-2,-6.948587019E-3,-2.985601686E-2
7.163079387E0,-7.391463965E-2,5.612320080E-2,-2.710712515E-2
7.182540012E0,-6.139190868E-2,6.864593178E-2,-2.344193682E-2
7.202000637E0,-1.908952370E-2,1.153007243E-2,-1.916588284E-2
7.221461262E0,3.283398226E-2,-6.345357746E-2,-1.809686981E-2
7.240921992E0,6.291907281E-2,-9.689842910E-2,-1.962403022E-2
7.260382617E0,5.818486959E-2,-6.452259421E-2,-1.626427472E-2
7.279843242E0,2.733619884E-2,6.872228696E-4,-6.795870606E-3
7.299303867E0,-1.053741761E-2,4.573849961E-2,6.948587019E-3
7.318764492E0,-4.398226365E-2,4.680751264E-2,2.038761228E-2
7.338225117E0,-6.551524997E-2,2.252563834E-2,2.359465137E-2
7.357685742E0,-7.483093441E-2,2.519817324E-3,1.626427472E-2
