"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.076641575E0,1.022034359E1,8.500502706E-1,-7.178468257E-2
7.096102200E0,1.032742214E1,8.057830334E-1,-4.516452849E-1
7.115562825E0,1.034836006E1,8.171489239E-1,-6.000002623E-1
7.135023450E0,1.020120144E1,7.202396393E-1,-4.887340367E-1
7.154484075E0,9.946963310E0,5.258227587E-1,-2.739782035E-1
7.173944700E0,9.640682220E0,3.822534084E-1,-4.606183618E-2
7.193405325E0,9.437292099E0,3.302095234E-1,1.280160099E-1
7.212865950E0,9.495916367E0,4.468596280E-1,7.238288224E-2
7.232326575E0,9.746564865E0,5.826523304E-1,-2.404786795E-1
7.251787304E0,9.945169449E0,6.574280262E-1,-5.994020700E-1
7.271247929E0,9.943374634E0,6.640082598E-1,-8.231309652E-1
7.290708554E0,9.823733330E0,5.575276613E-1,-8.039883971E-1
7.310169179E0,9.698708534E0,4.642075896E-1,-6.263213158E-1
7.329629804E0,9.656235695E0,4.187439680E-1,-4.558327198E-1
7.349090429E0,9.644271851E0,4.827519655E-1,-3.774677813E-1
7.368551054E0,9.624530792E0,5.018945336E-1,-3.649054468E-1
7.388011679E0,9.726823807E0,4.606183469E-1,-4.516452849E-1
7.407472304E0,9.820143700E0,4.486542344E-1,-5.407779217E-1
7.426932929E0,9.826126099E0,3.978067636E-1,-4.773681164E-1
7.446393554E0,9.894321442E0,2.386840582E-1,-3.852444589E-1
7.465854179E0,9.954740524E0,1.034895778E-1,-2.937189937E-1
7.485314804E0,9.954142570E0,8.374879137E-3,-2.111666054E-1
7.504775533E0,9.847063065E0,-5.204389244E-2,-1.645065546E-1
7.524236158E0,9.764511108E0,-1.070788130E-1,-2.141576260E-1
7.543696783E0,9.748359680E0,-4.725824669E-2,-2.608176768E-1
7.563157408E0,9.829715729E0,1.914258152E-1,-2.835494876E-1
7.582618033E0,9.857831001E0,4.576273263E-1,-3.463610709E-1
7.602078658E0,9.873384476E0,5.533402562E-1,-4.791627228E-1
7.621539283E0,9.811769485E0,5.473581553E-1,-6.065805554E-1
7.640999908E0,9.766903877E0,5.437689424E-1,-6.095715761E-1
7.660460533E0,9.822537422E0,4.791627228E-1,-4.354937077E-1
7.679921158E0,9.911071777E0,2.464607358E-1,-1.704886109E-1
7.699381783E0,9.951150894E0,-1.375873014E-2,-5.383851007E-2
7.718842408E0,9.894919395E0,-1.411765367E-1,-8.494520187E-2
