"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.921895779E0,1.021077251E1,1.064806059E-1,1.734796353E-2
6.941356508E0,9.955338478E0,7.124629617E-1,-8.973085321E-3
6.960817237E0,9.872786522E0,4.085744619E-1,-3.409772217E-1
6.980277862E0,9.961918831E0,-3.290131316E-2,-6.281159520E-1
6.999738591E0,9.845867157E0,-1.304088384E-1,-3.445664644E-1
7.019199320E0,9.684351921E0,-3.768695518E-2,3.589234129E-2
7.038660050E0,9.809376717E0,4.067798331E-2,4.905286431E-2
7.058120675E0,9.993623734E0,1.184447184E-1,-1.585244983E-1
7.077581404E0,1.000857925E1,3.128615618E-1,-2.979064286E-1
7.097042133E0,9.917053223E0,4.875376225E-1,-2.967100143E-1
7.116502862E0,9.792626381E0,3.798605800E-1,-1.944168359E-1
7.135963487E0,9.743574142E0,1.872383654E-1,-8.973085135E-2
7.155424216E0,9.706484795E0,1.633101404E-1,-4.725824669E-2
7.174884945E0,9.735796928E0,2.099701911E-1,-1.244267747E-1
7.194345675E0,9.798010826E0,2.536391914E-1,-3.098705411E-1
7.213806300E0,9.981060982E0,3.523431420E-1,-4.019941986E-1
7.233267029E0,1.007617569E1,4.121637046E-1,-2.344966233E-1
7.252727758E0,1.002054310E1,3.164508045E-1,-1.938186288E-1
7.272188487E0,9.817152977E0,1.525424421E-1,-2.440679073E-1
7.291649112E0,9.729815483E0,2.273181453E-2,-3.320041299E-1
7.311109841E0,9.748359680E0,4.067798331E-2,-3.451646566E-1
7.330570570E0,9.801599503E0,1.824527234E-1,-2.733799815E-1
7.350031300E0,9.858428955E0,4.109672904E-1,-2.769692242E-1
7.369491925E0,9.885947227E0,5.551348329E-1,-3.445664644E-1
7.388952654E0,9.853045464E0,4.660021961E-1,-3.397808075E-1
7.408413383E0,9.808777809E0,2.608176768E-1,-2.638086975E-1
7.427874112E0,9.784252167E0,2.201396823E-1,-1.866401732E-1
7.447334737E0,9.836296082E0,3.116651475E-1,-1.812563092E-1
7.466795466E0,9.955338478E0,4.289134443E-1,-2.045863420E-1
7.486256195E0,1.003789139E1,5.114658475E-1,-2.973082066E-1
7.505716925E0,1.002413273E1,5.826523304E-1,-4.217349887E-1
7.525177550E0,9.894321442E0,5.611169338E-1,-5.593222976E-1
7.544638279E0,9.748359680E0,5.282155871E-1,-5.545366406E-1
7.564099008E0,9.741779327E0,5.168496966E-1,-4.749752879E-1
7.583559737E0,9.818349838E0,5.461617708E-1,-4.492524564E-1
7.603020362E0,9.881160736E0,4.965106845E-1,-5.413761139E-1
7.622481091E0,9.922437668E0,4.043870270E-1,-6.669993401E-1
7.641941820E0,9.908080101E0,3.786641955E-1,-7.100701332E-1
7.661402550E0,9.805189133E0,4.265206456E-1,-5.934200287E-1
